undefined
[[11:34:41.385]] [LOG]   Running as compiled file
[[11:34:41.827]] [LOG]   Serving Server config from database
[[11:34:41.831]] [LOG]   Checking alternate jobfetcher C:\dev\CAMBRI~3\FFASTR~2\alternate-server\jobfetcher.js
[[11:34:41.837]] [LOG]   NOT running on alternate-server, getting about
[[11:34:42.868]] [LOG]   [32mHello and welcome, thank you for using FFAStrans
[[11:34:42.874]] [LOG]   [36mRunning on http://localhost:3002[0m
[[11:34:42.904]] [LOG]   Starting up REST API on Port 3003
[[11:34:42.904]] [LOG]   calling http://twi19ztf1c01.prod.orfnet.at,twi19ztf1c02.prod.orfnet.at:8649/api/json/v2/about
[[11:34:42.921]] [LOG]   calling http://twi19ztf1c01.prod.orfnet.at,twi19ztf1c02.prod.orfnet.at:8649/api/json/v2/about
[[11:34:42.926]] [LOG]   calling http://twi19ztf1c01.prod.orfnet.at,twi19ztf1c02.prod.orfnet.at:8649/api/json/v2/about
[[11:34:42.930]] [LOG]   calling http://twi19ztf1c01.prod.orfnet.at,twi19ztf1c02.prod.orfnet.at:8649/api/json/v2/about
[[11:34:42.934]] [LOG]   calling http://twi19ztf1c01.prod.orfnet.at,twi19ztf1c02.prod.orfnet.at:8649/api/json/v2/about
[[11:34:42.938]] [LOG]   calling http://twi19ztf1c01.prod.orfnet.at,twi19ztf1c02.prod.orfnet.at:8649/api/json/v2/about
[[11:34:42.942]] [LOG]   calling http://twi19ztf1c01.prod.orfnet.at,twi19ztf1c02.prod.orfnet.at:8649/api/json/v2/about
[[11:34:42.946]] [LOG]   calling http://twi19ztf1c01.prod.orfnet.at,twi19ztf1c02.prod.orfnet.at:8649/api/json/v2/about
[[11:34:42.950]] [LOG]   calling http://twi19ztf1c01.prod.orfnet.at,twi19ztf1c02.prod.orfnet.at:8649/api/json/v2/about
[[11:34:42.953]] [LOG]   calling http://twi19ztf1c01.prod.orfnet.at,twi19ztf1c02.prod.orfnet.at:8649/api/json/v2/about
[[11:34:42.957]] [LOG]   calling http://twi19ztf1c01.prod.orfnet.at,twi19ztf1c02.prod.orfnet.at:8649/api/json/v2/about
